-676.444, 3, 720.754
-970.64, 3, 720.754
-1313.18, 3, 720.754
-1675, 3, 720.754
-2075.45, 3, 664.579
-2358.57, 3, 495.679
-2480.46, 3, 167.144
-2418.78, 3, -172.845
-2267.29, 3, -273.216
-2054.82, 3, -322.793
-1880.56, 3, -576.422
-1588.47, 3, -799.702
-1266.75, 3, -759.799
-986.435, 3, -662.195
-712.074, 3, -567.803
-379.801, 3, -439.637
-269.458, 3, -702.286
-10.756, 3, -966.714
292.965, 3, -982.541
934.823, 3, -876.367
1175.3, 3, -641.646
1352.34, 3, -343.198
1544.45, 3, -89.4196
1873.67, 3, 132.748
2198.49, 3, 387.882
2441.56, 3, 700.16
2469.19, 3, 902.892
2181.97, 3, 999.202
1881.47, 3, 874.188
1522.42, 3, 721.733
1103.43, 3, 688.58
728.471, 3, 699.766
446.243, 3, 708.635
158.776, 3, 717.675
-52.5358, 3, 724.321
-235.914, 3, 730.088
-449.444, 3, 732.59
